NomenclatureCode,Nomenclature,ProductGroup,ProductGroupDescription,ProductCode,ProductDescription
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,40700,"Birds' eggs, in shell, fresh, preserved or cook"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,40900,Natural honey
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,41000,"Edible products of animal origin, nes"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,50100,"Human hair and waste, unworked"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,50210,"Pigs', hogs', or boars' bristles or hair"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,50290,Badger and other brush making hair
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,50300,Horsehair and waste
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,50400,"Guts, bladders and stomachs of animals (excl. f"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,50510,Raw feathers for stuffing; down
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,50590,Skins and parts of birds (excl. feathers for st
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,50610,Ossein and bones treated with acid
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,50690,Bones and horn-cores (excl. ossein...)
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,50710,"Ivory, its powder and waste, unworked"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,50790,"Tortoise-shell, whalebone and whalebone-hair, e"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,50800,"Coral; shells of molluscs, crustaceans, unworke"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,50900,Natural sponges of animal origin
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,51000,"Ambergris, castoreum, civet and musk; cantharid"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,51110,Bovine semen
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,51191,"Products of fish, etc; dead animals of Chapter"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,51199,"Animal products, nes; dead animals of Chapter 1"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,60110,"Dormant bulbs, tubers... rhizomes"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,60120,"Bulbs, tubers... rhizomes in growth or flower;"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,60210,Unrooted cuttings and slips
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,60220,"Trees,shrubs,bushes,grafted or not,of kinds whi"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,60230,Rhododendrons and azaleas
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,60240,Roses
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70110,Seed potatoes
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70190,"Other potatoes, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70200,"Tomatoes, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70310,"Onions and shallots, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70320,"Garlic, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70390,"Leeks and other alliaceous vegetables, nes"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70410,"Cauliflowers and headed broccoli, fresh or chil"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70420,"Brussels sprouts, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70490,"White and red cabbages, kohlrabi, kale...etc, f"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70511,"Cabbage lettuce, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70519,"Lettuce, fresh or chilled, (excl. cabbage lettu"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70521,"Witloof chicory, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70529,"Chicory, fresh or chilled, (excl. witloof)"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70610,"Carrots and turnips, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70690,Beetroot...radishes and other similar edible ro
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70700,"Cucumbers and gherkins, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70810,"Peas, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70820,"Beans, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,70890,"Leguminous vegetables, fresh or chilled, nes"
